[0.000000] (-) TimerEvent: {}
[0.000159] (feixi_ros2_control) JobQueued: {'identifier': 'feixi_ros2_control', 'dependencies': OrderedDict()}
[0.120925] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/feixi_mujoco_hardware.xml\n'}
[0.120992] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/include\n'}
[0.121052] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/include/feixi_ros2_control\n'}
[0.121114] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/include/feixi_ros2_control/mj_view.hpp\n'}
[0.121169] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/include/feixi_ros2_control/feixi_mujoco_hardware.hpp\n'}
[0.121271] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/lib/libfeixi_mujoco_hardware_plugin.so\n'}
[0.121336] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/urdf\n'}
[0.121455] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/urdf/feixi_mock.urdf.xacro\n'}
[0.121522] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/urdf/feixi.urdf.xacro\n'}
[0.121581] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/launch\n'}
[0.121637] (feixi_ros2_control) StdoutLine: {'line': b'-- Installing: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/launch/feixi_mujoco_ros2_control.launch.py\n'}
[0.121767] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/launch/feixi_mock_ros2_control.launch.py\n'}
[0.121851] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/config\n'}
[0.121921] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/config/feixi_forward_position_controller.yaml\n'}
[0.121983] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/config/feixi_joint_trajectory_arm7_mock.yaml\n'}
[0.122038] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/config/feixi_joint_trajectory_controller.yaml\n'}
[0.122097] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/config/ros2_controllers.yaml\n'}
[0.122154] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/config/feixi_joint_trajectory_effort.yaml\n'}
[0.122244] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/lib/feixi_ros2_control/send_feixi_demo_trajectory\n'}
[0.122327] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/lib/feixi_ros2_control/stream_feixi_joint_commands\n'}
[0.122483] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes\n'}
[0.122543] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models\n'}
[0.122596] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi\n'}
[0.122648] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/feixi_with_gripper.xml\n'}
[0.122701] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/collision\n'}
[0.122754] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/collision/link6.stl\n'}
[0.122805] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/collision/link1.stl\n'}
[0.123001] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/collision/link7.stl\n'}
[0.123087] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/collision/link4.stl\n'}
[0.123147] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/collision/link3.stl\n'}
[0.123209] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/collision/link2.stl\n'}
[0.123259] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/collision/link5.stl\n'}
[0.123384] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/collision/link0.stl\n'}
[0.123443] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/visual\n'}
[0.123497] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/visual/link2.obj\n'}
[0.123546] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/visual/link5.mtl\n'}
[0.123595] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/visual/link1.obj\n'}
[0.123799] (feixi_ros2_control) StdoutLine: {'line': b'-- Up-to-date: /home/star/program/real/programming/grinding/ros2_build_ws/install/feixi_ros2_control/share/feixi_ros2_control/scenes/models/feixi/visual/link0.obj\n'}
